All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    # misassemblies  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes         Largest alignment  NA50    NGA50   NA75    NGA75 
abyss_ctg                    617                  82                      5431491                 5376981                    115        430487          5388694       5432652           35.32   35.50             130570  130570  69698   65667   3                26                     1 + 0 part           210                       98.513               1.010              102.27             6.60                      8.00                  5816 + 77 part  430487             130570  130570  69698   65667 
soap_ctg                     123                  73                      5352193                 5337776                    105        606530          5349083       5432652           35.29   35.50             246346  246346  78462   74856   1                21                     1 + 0 part           2316                      98.106               1.003              0.00               8.97                      2.98                  5828 + 54 part  606357             246346  246346  78462   74856 
msrca_ctg                    90                   55                      5440292                 5422846                    90         766822          5440292       5432652           35.42   35.50             246697  246697  170659  170659  12               11                     0 + 0 part           0                         99.014               1.011              0.00               8.96                      3.59                  5961 + 38 part  766822             246697  246697  170659  170659
spades_ctg                   50090                99                      17888992                5385812                    49967      346945          17873366      5432652           37.73   35.50             251     103691  250     57869   14               14                     41518 + 724 part     10462090                  98.837               1.376              1.29               15.79                     2.89                  5904 + 71 part  346882             None    103691  None    57817 
cabog_ctg                    78                   77                      5419995                 5419570                    78         258489          5419995       5432652           35.41   35.50             155352  155352  76333   76333   7                6                      0 + 0 part           0                         99.323               1.007              0.00               4.84                      2.41                  5934 + 64 part  258489             150479  150479  74529   74529 
mira_ctg                     164                  96                      5422635                 5389079                    153        311769          5421518       5432652           35.43   35.50             116480  116480  52231   52231   12               14                     4 + 4 part           3764                      98.903               1.011              3.80               3.87                      2.12                  5908 + 84 part  311769             100038  100038  51519   51519 
GAM_mira-cabog               131                  65                      5424359                 5392304                    120        392037          5423242       5432652           35.43   35.50             161612  161612  92252   92252   14               14                     4 + 4 part           3764                      99.112               1.012              3.49               4.42                      2.43                  5943 + 60 part  391974             155381  155381  81450   81450 
GAM_mira-msrca               16                   0                       6248                    0                          16         877             6248          5432652           48.38   35.50             336     None    314     None    1                0                      0 + 0 part           0                         0.041                1.003              0.00               1026.33                   0.00                  0 + 6 part      681                None    None    None    None  
GAM_msrca-cabog              84                   51                      5435744                 5419319                    84         766822          5435744       5432652           35.41   35.50             246697  246697  170659  170659  13               10                     0 + 0 part           0                         99.106               1.011              0.00               8.77                      2.60                  5967 + 36 part  766822             246697  246697  170659  170659
GAM_soap-msrca               89                   46                      5357420                 5346105                    71         606530          5354310       5432652           35.30   35.50             246346  246346  125598  125598  4                24                     1 + 0 part           2316                      98.347               1.006              0.00               12.00                     3.18                  5864 + 39 part  606357             246346  246346  107147  104258
