Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
V.cholerae_MiSeq_sga-sga.gam	1901	247	4357240	3875237	1726	105420	4327390	4033464	47.40	47.49	23501	27303	11439	14804	79	4	6 + 34 part	9365	97.613	1.067	0.00	4.14	3.25	3474 + 180 part	105420	23501	27303	11373	14804
V.cholerae_velvet-cabog.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_sga-abyss.gam	1708	132	4320960	3877318	1533	207334	4291110	4033464	47.40	47.49	64563	67348	24245	31113	78	4	6 + 34 part	9365	97.595	1.058	0.00	3.99	3.25	3550 + 104 part	207334	64563	67348	23735	30434
V.cholerae_msrca-cabog.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_MiSeq_abyss-mira.gam	439	73	3966105	3905661	142	382353	3934566	4033464	47.52	47.49	111096	111096	71470	71400	15	4	2 + 0 part	1062	97.209	1.006	0.03	7.50	3.32	3547 + 33 part	382353	105316	105316	70753	64686
V.cholerae_MiSeq_velvet-abyss.gam	166	98	3958366	3927822	159	286004	3957104	4033464	47.50	47.49	110446	109801	63525	61896	15	3	1 + 4 part	6437	97.509	1.007	0.00	4.96	3.10	3556 + 59 part	286004	106438	98606	47047	46531
V.cholerae_mira-sga.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_MiSeq_cabog-cabog.gam	241	241	3953298	3953298	241	140691	3953298	4033464	47.52	47.49	33710	32790	17245	16374	20	7	1 + 2 part	5249	96.949	1.016	0.00	8.16	3.63	3450 + 146 part	140691	32625	32481	17241	16374
V.cholerae_sga-spades.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_spades-cabog.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_MiSeq_mira-cabog.gam	462	72	4102475	3970595	392	552421	4090613	4033464	47.45	47.49	213613	213613	83822	83822	118	15	21 + 59 part	21848	98.291	1.032	3.32	10.39	4.36	3627 + 50 part	414642	207550	207550	71640	72102
V.cholerae_MiSeq_spades-mira.gam	1478	68	4451246	3992195	1467	741022	4449530	4033464	46.24	47.49	246623	262160	92279	152115	12	4	1339 + 8 part	442574	98.519	1.006	4.94	5.51	3.30	3649 + 24 part	741022	246623	262160	71723	109499
V.cholerae_MiSeq_abyss-msrca.gam	456	87	3964846	3902241	159	285867	3933307	4033464	47.53	47.49	151547	124059	64686	55980	4	2	2 + 0 part	1062	96.860	1.006	0.00	3.53	3.17	3539 + 37 part	285867	112473	112473	55980	54612
V.cholerae_MiSeq_velvet-velvet.gam	209	124	3960394	3921645	201	246346	3958933	4033464	47.49	47.49	92036	92036	43442	39974	15	3	1 + 4 part	6437	97.494	1.008	0.00	4.22	2.82	3536 + 80 part	246346	63574	62259	39974	39408
V.cholerae_MiSeq_sga-msrca.gam	1555	113	4307679	3923941	1380	246270	4277829	4033464	47.41	47.49	63903	71831	38124	44535	79	6	6 + 33 part	9322	97.783	1.059	0.00	4.92	3.50	3557 + 103 part	246270	62648	63903	34774	44535
V.cholerae_msrca-sga.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_MiSeq_cabog-mira.gam	84	84	3930420	3930420	84	286057	3930420	4033464	47.52	47.49	123253	123253	58836	57373	18	8	1 + 1 part	5200	97.165	1.009	0.05	9.85	3.85	3547 + 56 part	286057	117234	112598	55339	53736
V.cholerae_velvet-msrca.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_velvet-sga.gam	181	100	3959056	3923270	173	286004	3957595	4033464	47.50	47.49	108108	102952	49003	47047	15	3	1 + 4 part	6437	97.505	1.007	0.00	4.25	2.82	3552 + 64 part	286004	98606	92036	46461	44922
V.cholerae_velvet-mira.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_msrca-spades.gam	107	82	4127431	4111590	107	507989	4127431	4033464	47.50	47.49	199580	246438	101168	105536	21	5	0 + 0 part	0	97.878	1.045	0.22	8.49	3.39	3608 + 50 part	423665	197300	199580	71888	101168
V.cholerae_MiSeq_cabog-velvet.gam	88	88	3928905	3928905	88	262422	3928905	4033464	47.52	47.49	119924	119924	71059	49465	18	7	1 + 2 part	5249	97.087	1.009	0.00	8.17	3.52	3544 + 54 part	262422	112598	110446	47627	47043
V.cholerae_MiSeq_msrca-velvet.gam	137	108	4004531	3985232	137	255732	4004531	4033464	47.47	47.49	110446	110446	52732	51137	21	5	0 + 1 part	37	97.711	1.017	0.00	10.71	3.22	3596 + 59 part	255345	105536	105536	49573	47043
V.cholerae_sga-mira.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_cabog-mira.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_spades-spades.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_cabog-sga.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_MiSeq_sga-spades.gam	1493	56	4361276	3978798	1318	737854	4331426	4033464	47.39	47.49	196471	196471	91929	129923	78	6	6 + 33 part	9276	97.769	1.068	0.42	4.74	3.27	3584 + 74 part	737854	196471	196471	71780	105287
V.cholerae_abyss-spades.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_MiSeq_msrca-abyss.gam	135	104	4003546	3982907	135	383215	4003546	4033464	47.47	47.49	124823	124823	72091	65695	19	5	0 + 1 part	37	97.830	1.014	0.00	6.82	3.40	3597 + 60 part	383215	112085	112085	60478	57036
V.cholerae_MiSeq_abyss-cabog.gam	460	91	3961992	3897729	164	262087	3930638	4033464	47.52	47.49	157836	157836	64686	62005	7	5	0 + 0 part	0	97.049	1.006	0.00	5.16	3.17	3530 + 37 part	262021	151478	151478	64686	60272
V.cholerae_MiSeq_velvet-mira.gam	148	86	3960379	3935348	141	299529	3959111	4033464	47.49	47.49	102090	102090	49382	47047	23	3	1 + 2 part	6349	97.685	1.008	0.03	5.81	3.38	3579 + 46 part	299529	92036	92036	46461	44922
V.cholerae_cabog-spades.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_cabog-cabog.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_spades-abyss.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_MiSeq_abyss-abyss.gam	564	149	3959969	3872255	267	178118	3928430	4033464	47.53	47.49	60973	60473	26016	24934	3	0	2 + 0 part	1062	96.591	1.001	0.00	3.26	2.67	3461 + 60 part	178118	60473	60272	25472	24045
V.cholerae_mira-abyss.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_abyss-mira.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_velvet-abyss.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_mira-sga.gam	471	77	4104594	3970346	401	552421	4092732	4033464	47.45	47.49	167208	167208	76507	83822	116	14	21 + 61 part	22056	98.281	1.032	3.47	9.11	4.04	3624 + 52 part	414642	116763	147957	71640	71640
V.cholerae_MiSeq_velvet-cabog.gam	148	85	3957983	3932767	140	255143	3956522	4033464	47.49	47.49	132010	132010	75901	71538	19	5	1 + 2 part	5861	97.645	1.007	0.00	5.89	3.20	3572 + 49 part	255063	112743	112743	49382	47047
V.cholerae_velvet-velvet.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_sga-msrca.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_MiSeq_velvet-spades.gam	163	95	3959564	3930545	155	286004	3958103	4033464	47.49	47.49	111013	111013	63525	49571	16	3	1 + 3 part	6376	97.556	1.007	0.38	4.65	3.02	3556 + 63 part	286004	108194	99273	46461	46456
V.cholerae_MiSeq_msrca-sga.gam	153	122	4015701	3995062	153	255732	4015701	4033464	47.47	47.49	100995	100995	46799	46799	16	5	0 + 1 part	37	97.726	1.018	0.00	6.47	3.25	3590 + 67 part	255345	98129	98129	46649	45736
V.cholerae_spades-velvet.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_msrca-mira.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_MiSeq_abyss-velvet.gam	456	92	3960683	3901414	159	285867	3929144	4033464	47.53	47.49	110305	109151	75762	75512	5	2	2 + 0 part	1062	96.885	1.006	0.00	3.38	2.89	3521 + 46 part	285867	106055	106055	70822	64686
V.cholerae_sga-abyss.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_MiSeq_mira-msrca.gam	473	76	4115008	3978500	403	552421	4103146	4033464	47.46	47.49	225322	225322	76507	78472	115	14	21 + 59 part	21968	98.231	1.034	3.46	9.06	4.27	3622 + 54 part	414642	216887	216887	65695	71640
V.cholerae_mira-cabog.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_MiSeq_spades-velvet.gam	1481	69	4449667	3989265	1470	741022	4447951	4033464	46.24	47.49	246623	262160	77564	136216	8	4	1339 + 8 part	442574	98.514	1.005	5.04	4.83	3.25	3647 + 26 part	741022	246623	246623	71723	106531
V.cholerae_mira-msrca.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_msrca-msrca.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_MiSeq_abyss-spades.gam	416	58	3967223	3910271	119	737599	3935684	4033464	47.51	47.49	246119	246119	132668	105342	5	3	1 + 1 part	952	97.012	1.001	0.20	4.27	3.09	3557 + 22 part	737599	246119	246119	105342	94726
V.cholerae_spades-mira.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_MiSeq_mira-abyss.gam	468	78	4104382	3972592	398	450326	4092520	4033464	47.45	47.49	180558	180558	71883	72102	115	14	21 + 61 part	22056	98.296	1.031	3.45	9.08	4.04	3626 + 50 part	414642	113495	114792	65695	71640
V.cholerae_abyss-abyss.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_MiSeq_mira-spades.gam	471	75	4265399	4129915	401	552421	4253537	4033464	47.44	47.49	205901	225322	80510	92331	114	14	21 + 61 part	22049	98.237	1.072	3.31	8.68	3.84	3622 + 53 part	414642	205901	216887	71640	80510
V.cholerae_cabog-abyss.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_MiSeq_cabog-sga.gam	120	120	3931629	3931629	120	207576	3931629	4033464	47.52	47.49	93169	93169	47612	46811	14	7	1 + 2 part	5249	97.012	1.010	0.00	8.15	3.58	3530 + 66 part	207576	93169	92029	46811	45141
V.cholerae_MiSeq_sga-cabog.gam	1593	120	4308426	3910476	1418	207334	4278576	4033464	47.41	47.49	88279	93326	41184	44973	80	9	6 + 32 part	8776	97.834	1.061	0.00	5.07	3.57	3558 + 104 part	207334	88279	93326	36076	44101
V.cholerae_sga-velvet.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_sga-cabog.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_MiSeq_spades-msrca.gam	1480	69	4447383	3987589	1469	741022	4445667	4033464	46.24	47.49	262160	262160	77564	136216	8	4	1339 + 8 part	442574	98.514	1.005	4.72	7.22	3.25	3646 + 27 part	741022	246623	246623	71723	106531
V.cholerae_MiSeq_sga-mira.gam	1465	72	4357742	3992127	1290	498167	4327892	4033464	47.39	47.49	139881	148601	62074	71831	91	7	6 + 33 part	9322	97.962	1.076	0.16	6.00	3.77	3606 + 61 part	498167	136000	139881	60429	71602
V.cholerae_abyss-cabog.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_mira-spades.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_MiSeq_cabog-spades.gam	79	79	3929631	3929631	79	362676	3929631	4033464	47.52	47.49	167005	167005	71795	65695	17	8	1 + 1 part	5174	97.113	1.008	0.25	8.32	3.40	3546 + 52 part	362676	160211	160211	62007	60636
V.cholerae_MiSeq_sga-velvet.gam	1545	98	4364975	3978344	1370	286079	4335125	4033464	47.39	47.49	98623	100217	44535	49053	87	5	6 + 34 part	9365	97.786	1.075	0.00	3.96	3.17	3567 + 93 part	286079	75851	84302	39262	45058
V.cholerae_abyss-velvet.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_MiSeq_msrca-mira.gam	129	107	4014005	3999767	129	336366	4014005	4033464	47.47	47.49	166818	166818	56371	56371	25	5	0 + 1 part	37	97.758	1.019	0.22	6.70	3.40	3605 + 53 part	335543	127741	127741	54581	53901
V.cholerae_msrca-spades.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_spades-sga.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
V.cholerae_MiSeq_spades-spades.gam	1486	73	4451154	3990044	1475	741022	4449438	4033464	46.24	47.49	246623	262160	77564	136216	7	4	1339 + 8 part	442574	98.514	1.005	5.10	4.91	3.25	3645 + 28 part	741022	246623	246623	71723	106531
V.cholerae_cabog-msrca.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_mira-velvet.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_cabog-velvet.gam	128	127	3855763	3855600	127	256726	3855600	4033464	47.53	47.49	61249	57883	29636	26097	23	11	0 + 0 part	0	95.625	1.006	0.00	17.03	7.36	3425 + 124 part	256726	53007	48794	26684	23694
V.cholerae_MiSeq_mira-mira.gam	501	96	4112140	3971344	431	450326	4100278	4033464	47.45	47.49	112926	112926	52144	56632	115	14	21 + 62 part	22109	98.223	1.034	3.49	9.09	4.04	3608 + 67 part	414642	106563	108689	50611	52144
V.cholerae_MiSeq_mira-velvet.gam	463	77	4115336	3986493	393	450326	4103474	4033464	47.45	47.49	155421	167208	72102	76507	115	14	20 + 60 part	25932	98.266	1.034	3.39	8.63	3.96	3625 + 51 part	414642	113495	113495	65695	71640
V.cholerae_MiSeq_spades-cabog.gam	1482	71	4450881	3991220	1471	741022	4449165	4033464	46.24	47.49	246623	262160	77564	136216	8	4	1339 + 7 part	442022	98.506	1.006	4.97	5.08	3.27	3646 + 26 part	741022	246623	246623	71723	106531
V.cholerae_velvet-sga.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_velvet-msrca.gam	152	89	3958186	3932970	144	255425	3956725	4033464	47.50	47.49	122567	122567	63525	53390	18	3	1 + 3 part	6410	97.578	1.008	0.00	9.63	3.05	3567 + 54 part	255345	110446	106438	47047	46556
V.cholerae_msrca-velvet.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_abyss-msrca.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_mira-mira.gam	2673	115	4337203	3932194	733	316666	4113459	4033464	47.51	47.49	89511	92000	51525	55736	57	12	46 + 71 part	15490	97.998	1.047	19.55	10.93	3.92	3578 + 68 part	193764	87069	87069	48063	49911
V.cholerae_msrca-abyss.gam	105	80	3994617	3980159	105	555664	3994617	4033464	47.50	47.49	241604	241604	85155	79323	10	5	0 + 5 part	453	98.176	1.014	0.00	68.61	6.89	3627 + 48 part	555664	236373	236373	74254	74254
V.cholerae_spades-msrca.gam	207	121	3955126	3912505	205	214711	3954925	4033464	47.51	47.49	83518	77074	46841	44636	7	4	8 + 0 part	3366	97.261	1.008	0.00	5.68	2.98	3529 + 53 part	214707	83518	77065	44636	44010
