ID or #		Start	End
gene1		3166	3891
gene2		7210	7881
gene4		8711	9229
gene5		9512	10957
gene6		11008	11403
gene7		11721	12386
gene8		12450	12770
gene9		12853	13503
gene10		13510	14601
gene11		15008	15538
gene12		15885	16175
gene13		16517	17587
gene14		17721	18647
gene15		18722	19732
gene16		19807	20175
gene17		20168	21490
gene18		21526	22302
gene19		22311	24074
gene20		24336	25907
gene21		25976	26329
gene22		26326	26748
gene23		26991	27248
gene24		27549	27764
gene25		28133	28960
gene26		29003	29380
gene27		31496	31603
gene28		31798	32106
gene29		32103	32222
gene30		32232	32408
gene31		32571	32870
gene32		32931	33932
gene33		33947	34093
gene34		34613	35824
gene35		36007	36993
gene36		36993	38177
gene37		38392	38619
gene38		38609	39004
gene39		39084	39968
gene40		40681	41274
gene42		44315	44536
gene43		44599	45153
gene44		45153	46187
gene45		46184	46648
gene46		46985	47521
gene47		47658	49148
gene48		49160	49672
gene49		49668	50009
gene50		50016	50351
gene51		50383	51633
gene52		51804	52088
gene53		52085	53143
gene54		53156	53386
gene55		53383	53700
gene56		53957	54379
gene57		55012	56139
gene58		56211	56366
gene59		56604	57782
gene60		58192	59004
gene61		59004	60011
gene62		60055	61293
gene63		61700	61960
gene64		62195	62572
gene65		63080	63451
gene66		63999	65216
gene67		67218	67568
gene68		67635	67925
gene69		67925	68479
gene70		68476	69195
gene71		69195	70448
gene72		70445	70873
gene73		70870	73353
gene74		73350	73667
gene75		73645	74004
gene76		74001	74531
gene77		74507	75145
gene78		75142	76128
gene79		76089	76841
gene80		76838	78946
gene81		78948	79346
gene82		79339	80172
gene83		80180	80425
gene84		80436	81833
gene86		85998	86510
gene87		87069	91703
gene88		92138	92410
gene89		93277	94062
gene90		94487	95056
gene91		95209	95487
gene92		95592	96833
gene93		96830	97312
gene94		97293	98483
gene6		5531	6823
gene7		6925	7335
gene8		8012	9433
gene9		9690	11195
gene10		11361	11714
gene11		12125	12823
gene12		12843	13823
gene13		13839	14498
gene14		15031	16614
gene15		16988	17755
gene16		17752	19728
gene19		23029	24177
gene20		24295	25551
gene22		26527	27375
gene23		27395	28498
gene24		28495	29436
gene25		29463	30467
gene26		30522	31541
gene27		31726	32496
gene28		32769	33563
gene29		33636	35210
gene30		35289	36269
gene31		36269	37180
gene32		37182	39035
gene33		39028	40302
gene34		40299	41243
gene35		41240	42184
gene36		43365	44969
gene37		45194	45466
gene38		45667	46413
gene39		46555	46800
gene40		46812	47999
gene41		47999	48997
gene42		49222	50367
gene43		50364	51050
gene44		51047	51577
gene45		51659	52762
gene46		52800	54071
gene47		54227	55345
gene48		55434	56072
gene49		56228	56692
gene50		56776	57339
gene51		57311	58015
gene52		58041	58412
gene53		58616	59713
gene54		59750	60988
gene55		61181	63124
gene56		63203	63382
gene57		63409	65028
gene58		65030	66169
gene59		66162	67085
gene60		67142	68731
gene61		68939	69178
gene62		69179	69520
gene63		69574	69933
gene65		70529	72337
gene66		72528	73133
gene67		73200	73547
gene68		73549	74292
gene69		74424	75338
gene70		75342	76010
gene71		76007	76186
gene72		76263	77492
gene73		77589	78899
gene74		79022	80200
gene75		80211	83495
gene76		83627	84265
gene77		84326	84907
gene78		85139	85504
gene79		85545	87122
gene80		87234	87776
gene81		87766	88113
gene82		88207	88659
gene83		88711	89049
gene84		89065	89325
gene85		89409	90056
gene87		90784	92244
gene88		92706	92781
gene89		92948	94396
gene90		94407	95708
gene91		95776	96519
gene92		96592	97686
gene93		97683	98600
gene94		98604	98876
gene95		98876	99289
gene96		99597	100802
gene97		100961	102352
gene98		102475	103431
gene99		103428	104012
gene100		104024	104338
gene101		104574	105128
gene102		105121	105816
gene103		105908	107296
gene104		107423	108985
gene105		109269	109754
gene106		109747	110772
gene107		110754	111419
gene110		117813	118133
gene111		118266	119174
gene112		119311	119868
gene113		119865	121166
gene114		121217	122749
gene115		122749	122994
gene116		123055	124968
gene118		125686	126090
gene119		126368	127282
gene120		127361	128134
gene121		128370	129377
gene122		129719	130813
gene123		130803	133190
gene124		133187	133867
gene127		136202	137710
gene128		137889	138374
gene129		138364	138618
gene130		138700	139968
gene131		140022	140183
gene132		140534	141217
gene133		141230	142060
gene134		142328	142708
gene135		142826	143317
gene136		143434	144270
gene137		144267	145682
gene138		145829	146182
gene139		146426	146581
gene141		147831	149045
gene142		148997	150340
gene143		150337	151872
gene144		152005	152691
gene145		152758	153765
gene147		155130	156482
gene148		156951	157640
gene149		157676	160243
gene150		160311	161717
gene151		161714	163087
gene152		163084	164166
gene153		164159	164644
gene154		164880	165098
gene155		165426	165893
gene156		165890	166114
gene157		166389	166865
gene158		166955	168718
gene159		168853	169806
gene160		170014	170514
gene161		170637	171389
gene162		171393	172448
gene163		172445	173323
gene164		173428	173676
gene165		174090	174365
gene166		174362	174727
gene168		176685	177176
gene169		177300	177836
gene170		177833	178669
gene171		178672	179781
gene172		179778	181520
gene173		181568	182569
gene174		182539	183996
gene175		183993	184544
gene176		184780	186696
gene177		186833	189112
gene178		189311	189715
gene179		189717	191024
gene180		191024	192220
gene181		192217	193200
gene182		193193	193825
gene183		193892	194839
gene184		194987	196006
gene185		196087	197736
gene186		197835	198767
gene187		198771	199400
gene188		199574	200845
gene189		200870	201355
gene190		201425	202399
gene191		202423	203124
gene192		203237	204139
gene193		204271	205263
gene194		205256	206356
gene195		206353	207855
gene197		209722	211041
gene198		211252	212205
gene199		212309	214426
gene200		214423	214791
gene201		215064	215519
gene202		215732	215821
gene203		216210	216713
gene204		216837	217037
gene205		217086	217379
gene206		217383	217676
gene207		217914	219383
gene208		219377	220213
gene209		220172	221230
gene210		221252	221896
gene211		222110	222592
gene212		222605	223414
gene213		223468	224274
gene214		224676	225674
gene215		225687	226076
gene216		226147	226464
gene217		226598	226936
gene219		227264	228748
gene220		228765	229655
gene222		234724	234960
gene223		235044	235418
gene224		235421	235861
gene225		235871	236251
gene226		236255	236422
gene227		236419	236892
gene228		236889	237221
gene229		237218	237724
gene231		238152	239486
gene232		239740	240483
gene233		240494	241453
gene234		241450	242718
gene235		242832	243704
gene236		244023	245681
gene237		245668	246105
gene238		246370	246852
gene241		248368	249057
gene242		249064	249615
gene243		250098	250460
gene244		250745	250930
gene245		250927	251124
gene246		251121	251453
gene247		251453	251848
gene248		251971	253140
gene249		253514	253789
gene250		253865	254107
gene251		254119	255165
gene252		255196	255271
gene253		255570	256607
gene254		256614	257066
gene255		257063	257671
gene256		257682	258641
gene257		258792	259364
gene258		259554	260090
gene259		260175	260528
gene260		260559	262676
gene261		262693	263349
gene262		263386	264144
gene263		264176	264589
gene264		264610	265449
gene265		265446	266135
gene266		266128	267042
gene267		267064	267399
gene268		267436	268155
gene269		268195	269841
gene270		270577	272175
gene271		272514	273215
gene273		274953	275381
gene274		275403	276311
gene275		276308	276706
gene276		276703	276972
gene277		277116	278213
gene278		278180	279055
gene279		279224	280048
gene280		280096	281022
gene281		281022	281783
gene282		281914	282492
gene283		282492	282701
gene284		282869	283684
gene285		283985	284566
gene286		284679	286982
gene287		287111	287716
gene289		289160	289804
gene290		289879	289954
gene291		290047	290241
gene292		290404	290937
gene293		291030	291482
gene294		291486	292184
gene295		292423	292938
gene296		293008	293385
gene297		293630	297763
gene298		297845	302092
gene299		302284	303210
gene300		303423	303794
gene301		303807	304277
gene302		304302	306419
gene304		307742	308050
gene305		308064	308786
gene306		308776	309396
gene307		309393	309689
gene308		309812	310651
gene309		310655	310933
gene310		310937	311317
gene311		311317	312033
gene312		312048	312461
gene313		312701	312907
gene314		312921	313163
gene315		313237	313605
gene316		313605	313910
gene317		313910	314470
gene318		314490	314795
gene319		314808	315206
gene320		315217	315750
gene321		315762	316121
gene322		316133	316696
gene323		316709	316897
gene324		317054	317539
gene325		317640	318998
gene326		319009	319662
gene327		319837	320205
gene328		320219	320608
gene329		320724	321740
gene330		321841	322260
gene331		322519	323130
gene332		323186	324571
gene333		324610	325923
gene334		325955	326329
gene335		326326	327366
gene336		327366	328073
gene337		328300	329316
gene338		329465	330727
gene339		330729	332057
gene340		332070	332858
gene341		333068	333436
gene342		333745	334950
gene343		335207	337378
gene344		337757	338566
gene345		338612	338953
gene346		339118	339951
gene347		339951	340790
gene348		340889	342208
gene349		342292	342561
gene350		342569	343225
gene351		343336	345753
gene352		346143	346859
gene353		346893	347975
gene354		348180	348542
gene355		348555	348755
gene356		348871	350316
gene357		350457	351194
gene358		351538	352398
gene360		353474	354475
gene361		354743	355699
gene362		355790	356260
gene363		356475	357434
gene364		357431	357745
gene365		357884	359062
gene366		359087	360046
gene367		360057	360527
gene368		360800	362455
gene369		362979	364256
gene370		364249	365085
gene371		365227	365712
gene373		367170	367625
gene374		367772	368866
gene375		368894	369268
gene376		369641	370645
gene377		370813	373329
gene378		373326	374312
gene380		376158	376484
gene381		376484	376909
gene384		380074	380688
gene385		380801	382093
gene386		382200	382757
gene387		383049	383375
gene388		383391	385055
gene389		385065	386039
gene390		386215	386568
gene391		386636	387268
gene392		387265	387921
gene393		387970	388698
gene394		388695	388856
gene395		388849	389388
gene396		389587	392331
gene397		392493	393200
gene398		393375	394433
gene399		394430	395503
gene400		395908	396252
gene401		396284	397825
gene402		397822	400614
gene403		400598	401773
gene404		401856	402743
gene405		402740	403093
gene406		403146	404096
gene408		406088	406324
gene409		406331	408643
gene410		408640	408879
gene411		408886	409134
gene412		409736	410245
gene413		410429	412729
gene414		412976	414520
gene415		414543	415088
gene416		415379	416503
gene417		416542	417963
gene418		418133	419044
gene419		419115	420047
gene420		420049	420225
gene421		420222	420797
gene422		420825	421625
gene423		421826	422497
gene424		422509	423894
gene425		423891	425150
gene426		425150	425734
gene427		426069	426875
gene428		426908	428329
gene429		428458	428994
gene430		428999	429871
gene431		430176	430760
gene432		430841	431326
gene433		431545	432309
gene434		432357	432959
gene435		432971	433876
gene439		437638	437991
gene440		438151	439413
gene441		439615	441141
gene443		442635	444878
gene444		445037	446251
gene445		446347	447426
gene446		447477	448925
gene447		448968	450422
gene448		450492	452273
gene449		452398	453321
gene450		453318	453788
gene451		453792	455885
gene452		456004	458550
gene453		458768	459490
gene454		459590	460492
gene455		460538	461575
gene456		461572	462915
gene457		463014	463232
gene458		463305	464327
gene459		464457	464912
gene460		464909	465367
gene461		465545	466672
gene462		466677	467876
gene463		467928	468158
gene464		468239	468886
gene465		469002	469637
gene466		469645	471459
gene467		471693	472574
gene468		472656	473819
gene469		473997	474455
gene470		474764	475294
gene471		475308	477008
gene472		477423	478079
gene473		478176	479735
gene474		479857	479943
gene475		480233	481336
gene476		481391	482482
gene477		482534	483808
gene478		483887	484795
gene479		484975	485142
gene480		485217	485702
gene481		485753	486493
gene482		486624	486854
gene483		486939	487907
gene484		487915	488874
gene485		489235	489597
gene486		489686	490486
gene487		490925	491314
gene488		491614	493977
gene489		494021	495322
gene490		495484	496818
gene491		496815	497369
gene492		497371	498681
gene493		498697	499200
gene494		499203	500051
gene495		500089	500655
gene496		500662	501642
gene497		501646	502614
gene499		504100	505371
gene500		505718	506359
gene501		506365	507750
gene502		508004	508828
gene503		508898	509101
gene504		509291	509608
gene505		509868	510758
gene506		510817	511056
gene507		511100	511729
gene508		511745	512443
gene509		512637	512720
gene510		512992	513915
gene511		514055	514576
gene512		514570	515169
gene513		515166	515684
gene514		515824	516801
gene515		516829	517374
gene516		517418	518233
gene517		518284	518964
gene518		519356	520768
gene519		520770	521756
gene520		521753	522190
gene521		522394	523062
gene522		523580	524521
gene523		524602	525420
gene524		525735	527225
gene525		527494	528192
gene526		528235	529275
gene527		529420	530334
gene529		531708	532184
gene530		532399	534504
gene531		534620	535021
gene532		535062	535592
gene533		535592	536596
gene534		536668	537252
gene536		538127	538933
gene537		538996	539403
gene538		539400	540116
gene539		540145	541815
gene540		541842	542147
gene541		542144	542908
gene542		543051	543512
gene543		543683	544864
gene544		545193	545930
gene545		546042	546398
gene546		546482	546844
gene547		547132	547935
gene548		548205	548555
gene549		548589	548822
gene550		549413	550153
gene551		550280	550546
gene552		550603	551391
gene553		551878	552252
gene554		552259	552570
gene555		552567	553142
gene556		553282	553617
gene557		553557	554075
gene558		554166	554417
gene559		554720	555148
gene560		555305	555742
gene561		555770	556060
gene562		556550	557740
gene563		558385	558684
gene564		558661	559536
gene565		559600	560490
gene566		560555	560630
gene567		560737	561783
gene568		561822	562370
gene569		562467	563624
gene570		563661	564113
gene571		564243	564671
gene572		564694	565041
gene573		565102	566898
gene574		566898	568757
gene575		568809	569138
gene576		569140	569469
gene577		569466	570560
gene578		570606	571241
gene579		571316	571573
gene580		571682	573898
gene581		573941	575305
gene583		578452	579336
gene584		579524	580669
gene585		580691	581134
gene586		581296	582807
gene587		582976	583572
gene588		583576	583920
gene589		583987	586950
gene590		587069	587500
gene591		587720	588865
gene592		588944	590125
gene593		590153	590629
gene594		590962	592248
gene595		592355	593770
gene596		593904	595958
gene597		596014	596700
gene598		596757	597941
gene599		597938	598417
gene600		598417	599229
gene601		599260	600276
gene602		600273	600860
gene604		602636	604147
gene605		604158	606023
gene606		606221	608203
gene608		609595	610776
gene609		610890	611816
gene610		612040	612246
gene611		612424	612918
gene612		612944	613420
gene613		613899	616325
gene614		616371	617084
gene615		617221	618192
gene616		618406	618696
gene617		618887	619231
gene618		619261	619743
gene619		619783	620094
gene620		620302	620754
gene621		621117	621602
gene622		621617	622006
gene623		622010	623101
gene624		623291	623875
gene625		624198	624404
gene626		624498	624815
gene628		626074	626964
gene629		627062	627385
gene630		627382	628161
gene631		628243	629184
gene632		629873	630277
gene633		630298	630576
gene634		630649	631383
gene635		631399	631695
gene636		631702	632406
gene637		632521	632718
gene638		632780	633466
gene639		633935	634387
gene640		634626	635378
gene641		635422	635619
gene642		635737	636591
gene643		636721	636984
gene644		636959	637414
gene645		637688	639064
gene646		639541	641055
gene647		641174	642385
gene648		642382	644187
gene649		644180	644698
gene650		644853	645350
gene651		645363	646172
gene652		646227	647033
gene653		647337	648242
gene654		648313	648630
gene655		648767	649084
gene656		649109	649426
gene657		649433	650917
gene658		650933	651823
gene659		651823	656844
gene660		656968	657153
gene661		657288	657674
gene662		657671	658114
gene663		658124	658504
gene664		658508	659065
gene665		659065	659397
gene666		659394	659735
gene667		659732	660166
gene668		660237	661538
gene669		661551	662390
gene670		662387	663637
gene671		663637	665346
gene672		665348	665824
gene673		665867	666766
gene676		668308	668991
gene677		668998	669633
gene678		669791	670129
gene679		670405	670755
gene680		670762	671064
gene681		671395	671727
gene684		674132	674362
gene685		674362	675387
gene686		675421	675497
gene687		675541	676011
gene688		676328	676639
gene689		676895	679078
gene690		679417	680130
gene691		680136	680408
gene692		680509	680826
gene693		680949	681209
gene694		681463	681606
gene695		681644	683443
gene696		683851	683925
gene697		684379	687843
gene698		688026	690377
gene699		690398	691543
gene700		692464	692679
gene701		692949	694010
gene702		694911	695417
gene703		695421	696416
gene704		696417	696776
gene705		696773	698566
gene707		700157	701590
gene708		701603	702685
gene709		702782	703363
gene710		703796	705193
gene711		705250	705720
gene712		706074	706580
gene713		706721	707887
gene714		707889	708983
gene715		708980	710392
gene716		710406	710660
gene717		710657	711583
gene718		711623	712546
gene719		712534	713460
gene720		713457	714791
gene721		714971	716629
gene723		717892	718728
gene724		718756	720396
gene725		720407	720799
gene726		720796	722169
gene727		722305	722934
gene728		723139	723837
gene729		723994	725082
gene730		725180	726187
gene731		726399	726719
gene732		726902	727654
gene733		727669	727908
gene734		728140	728808
gene735		728856	730619
gene736		730629	731957
gene737		732464	735274
gene738		735283	735510
gene739		735655	736401
gene740		736430	737644
gene741		737626	737847
gene742		737844	738047
gene743		738047	739441
gene744		739608	740066
gene745		740169	740825
gene746		740867	741183
gene748		743132	744370
gene749		744522	745937
gene750		745971	747182
gene751		747208	747648
gene752		747648	748733
gene753		749066	750100
gene754		750104	752647
gene755		752647	753366
gene756		753492	754205
gene757		754202	754753
gene758		754750	755838
gene759		755838	756644
gene760		756778	758079
gene761		758081	759406
gene762		759416	760213
gene763		760210	761145
gene764		761705	762802
gene765		762822	763955
gene766		764032	764796
gene767		764992	765699
gene768		765995	766798
gene769		766852	766926
gene770		767169	767624
gene772		771407	772147
gene773		772144	772500
gene774		772736	773521
gene775		773653	775170
gene776		775298	776203
gene777		776298	777164
gene779		777875	778465
gene780		778440	779180
gene781		779483	780058
gene782		780055	780759
gene783		781012	782130
gene784		782378	785032
gene785		785081	786109
gene786		786106	786960
gene788		788078	788662
gene789		788659	790110
gene790		790120	791766
gene791		791845	792525
gene792		792833	794218
gene793		794280	795500
gene794		795537	795890
gene795		796019	797551
gene796		797703	798050
gene797		798472	798870
gene798		799185	799412
gene799		799508	801595
gene800		801597	802040
gene801		802132	804261
gene802		804825	805958
gene803		805967	806323
gene804		806327	809197
gene805		809387	811588
gene806		811603	812814
gene807		812885	813328
gene808		813355	815130
gene809		815149	815547
gene810		815669	816049
gene811		816157	816648
gene812		816645	817151
gene813		817144	818478
gene814		818490	819248
gene815		819245	820165
gene816		820251	821051
gene817		821053	822021
gene818		822018	823112
gene819		823112	824689
gene820		824690	825685
gene821		825839	826321
gene823		826916	827476
gene824		827623	828027
gene825		828137	829000
gene826		829071	829550
gene827		829813	830355
gene828		830390	831271
gene830		832703	832858
gene831		832985	834289
gene832		834397	834711
gene833		834809	837955
gene834		837959	839125
gene835		839367	840038
gene836		840316	842400
gene837		842397	843626
gene838		844096	844626
gene839		844698	848210
gene840		848230	848544
gene841		848771	849025
gene843		850877	852097
gene844		852180	853220
gene846		853786	854892
gene847		854906	856429
gene848		857015	857098
gene849		857218	858003
gene850		858192	858638
gene851		858840	859151
gene852		859148	859909
gene853		860044	860763
gene854		860903	861283
gene855		861508	862146
gene856		862146	862733
gene857		862970	864979
gene858		865112	866332
gene859		866363	867091
gene860		867084	867872
gene861		868100	869077
gene862		869074	869898
gene863		870307	872043
gene864		872149	874038
gene865		874411	874848
gene866		874848	875768
gene867		875782	876741
gene868		876808	877245
gene870		878349	879458
gene871		879639	880277
gene872		880293	881258
gene873		881271	882461
gene874		882610	883488
gene876		885533	885985
gene877		885996	886688
gene878		886751	887407
gene879		887451	887738
gene880		887735	889210
gene881		889158	890048
gene882		890052	890723
gene883		890768	891120
gene884		891211	892443
gene885		892440	893270
gene886		893357	894646
gene887		894707	895783
gene888		895787	896776
gene889		896911	897750
gene890		898039	900000
gene892		902480	903187
gene893		903198	904376
gene894		904801	905421
gene895		905665	906750
gene896		906750	907685
gene897		907691	908548
gene898		908551	909546
gene899		909607	910155
gene900		910229	911404
gene901		911408	912985
gene902		913317	913817
gene903		913895	914257
gene904		914730	917045
gene905		917212	917979
gene906		918041	918829
gene907		919132	919692
gene908		919693	921231
gene909		921254	922123
gene910		922141	923568
gene911		923578	923976
gene912		924402	925421
gene913		925553	926578
gene914		926578	927039
gene915		927079	927999
gene916		928027	928470
gene917		928696	929589
gene918		929740	930657
gene921		932218	932505
gene922		932601	934244
gene924		935222	936208
gene925		936536	937354
gene926		937445	937750
gene927		937932	939173
gene928		939220	940365
gene929		940362	941750
gene930		941763	943142
gene931		943218	944255
gene932		944312	945637
gene933		945637	946143
gene934		946148	946912
gene935		947087	947953
gene936		948123	949262
gene937		949270	951216
gene938		951213	951752
gene939		951745	952647
gene940		952681	953718
gene941		954067	955023
gene942		955210	956799
gene944		958220	959725
gene945		959907	961571
gene947		962768	963361
gene948		963386	963625
gene949		963757	964488
gene950		964563	964814
gene951		964900	965262
gene952		965250	965828
gene953		965892	967202
gene954		967364	968542
gene955		968571	969074
gene956		969084	969698
gene957		969700	970524
gene958		970667	971269
gene959		971386	971928
gene960		971943	972404
gene961		972793	972869
gene962		973054	973848
gene963		973975	974136
gene964		974266	974898
gene965		974973	975437
gene967		978176	979708
gene968		979786	980181
gene969		980178	980492
gene970		980495	980911
gene971		980904	981326
gene972		981816	983288
gene973		983273	983623
gene974		983626	984222
gene976		985754	986074
gene977		986071	987264
gene978		987339	989156
gene979		989506	990288
gene980		990482	991246
gene981		991251	991907
gene982		991973	992935
gene983		993119	994627
gene984		994634	995638
gene985		995642	996619
gene986		996635	997585
gene987		997596	998342
gene988		998596	1000014
gene989		1000011	1001180
gene990		1001413	1001937
gene991		1002024	1003469
gene992		1003514	1004704
gene993		1004704	1005729
gene994		1005921	1007243
gene995		1007354	1007608
gene996		1007644	1009776
gene997		1009898	1010425
gene998		1010544	1011098
gene999		1011171	1011332
gene1000		1011405	1012514
gene1001		1012514	1012915
gene1002		1012902	1013726
gene1003		1013866	1014426
gene1004		1014506	1014868
gene1005		1015271	1015651
gene1006		1015654	1016748
gene1007		1016860	1017294
gene1008		1017366	1017866
gene1009		1018151	1018681
gene1010		1018710	1019819
gene1011		1019816	1020370
gene1012		1020381	1020938
gene1014		1022619	1023662
gene1015		1023737	1024738
gene1016		1025030	1026049
gene1017		1026077	1026877
gene1018		1026870	1027763
gene1019		1027765	1028769
gene1021		1030777	1032612
gene1022		1032599	1033459
gene1023		1033456	1034445
gene1024		1034442	1035194
gene1025		1035191	1035850
gene1026		1035995	1037728
gene1027		1037772	1038017
gene1028		1038091	1039140
gene1029		1039301	1040197
gene1030		1040755	1041555
gene1031		1041640	1043460
gene1032		1043632	1045233
gene1033		1045230	1046381
gene1034		1046578	1047969
gene1035		1047977	1048927
gene1036		1048924	1049733
gene1037		1049765	1050490
gene1038		1050480	1051433
gene1039		1051430	1051714
gene1040		1051790	1052362
gene1042		1055245	1055541
gene1043		1055596	1055934
gene1044		1056214	1056723
gene1046		1057742	1058758
gene1047		1058814	1060742
gene1048		1060857	1063733
gene1049		1063855	1064589
gene1050		1064635	1065927
gene1051		1066170	1066517
gene1052		1066514	1066900
gene1053		1066878	1067795
gene1054		1067792	1068250
gene1055		1068252	1070312
gene1056		1070320	1070688
gene1057		1070679	1070963
gene1058		1070960	1071559
gene1059		1071682	1073994
gene1060		1074101	1075888
gene1061		1075992	1077674
gene1062		1077763	1078131
gene1063		1078128	1078457
gene1064		1078538	1080742
gene1065		1080739	1084047
gene1066		1084044	1086230
gene1067		1086227	1088293
gene1068		1088290	1090068
gene1069		1090065	1091882
gene1070		1091879	1094494
gene1071		1094553	1095218
gene1072		1095338	1096801
gene1073		1096886	1097500
gene1074		1097519	1098877
gene1075		1099010	1099435
gene1076		1099436	1100182
gene1077		1100179	1100961
gene1078		1100958	1102007
gene1079		1102236	1102973
gene1080		1103152	1103385
gene1081		1103882	1105144
gene1082		1105141	1106322
gene1083		1106432	1106836
gene1084		1106883	1108127
gene1085		1108200	1109375
gene1086		1109377	1109610
gene1087		1109615	1110178
gene1088		1110244	1111440
gene1089		1111535	1112134
gene1090		1112134	1112469
gene1091		1112466	1112864
gene1092		1112902	1113315
gene1093		1113315	1113833
gene1094		1113856	1114476
gene1095		1114486	1115118
gene1096		1115118	1116002
gene1097		1115999	1116439
gene1098		1116439	1120329
gene1099		1120333	1120746
gene1100		1120739	1121545
gene1102		1122984	1124375
gene1103		1124389	1125378
gene1104		1125601	1125903
gene1105		1126182	1127111
gene1106		1127213	1128406
gene1107		1128555	1129064
gene1108		1129054	1129647
gene1109		1129891	1131141
gene1110		1131217	1132332
gene1111		1132370	1132792
gene1112		1132955	1133191
gene1113		1133262	1134539
gene1114		1134574	1135458
gene1115		1135523	1135936
gene1116		1136518	1140174
gene1117		1140547	1141047
gene1118		1141281	1141934
gene1120		1143090	1144292
gene1121		1144947	1145786
gene1122		1146147	1147958
gene1123		1147958	1149322
gene1124		1149423	1150112
gene1125		1150144	1150704
gene1126		1150728	1151885
gene1127		1151976	1152587
gene1128		1152653	1154329
gene1130		1156359	1157243
gene1131		1157256	1158044
gene1132		1158265	1158630
gene1133		1158627	1159151
gene1134		1159162	1159764
gene1135		1159769	1160983
gene1137		1161894	1162106
gene1138		1162117	1163412
gene1139		1163417	1163776
gene1140		1163936	1165900
gene1141		1165904	1166314
gene1142		1166342	1167379
gene1143		1167381	1167884
gene1144		1167881	1168291
gene1145		1168288	1168902
gene1146		1169062	1169367
gene1147		1169373	1171535
gene1148		1171535	1173076
gene1149		1173087	1174523
