Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B.fragilis_velvet-mira.gam	171	91	5289088	5259453	148	378452	5285018	5373121	43.48	43.42	141564	141564	88952	86884	107	52	74 + 9 part	382292	80.135	1.137	0.00	666.96	30.55	3365 + 103 part	188970	44100	44083	14652	13226
B.fragilis_sga-mira.gam	1300	95	5421564	5258631	156	384833	5284817	5373121	43.47	43.42	141618	141618	63252	62582	106	51	68 + 14 part	397243	80.118	1.134	0.19	663.87	29.37	3362 + 102 part	185428	42686	41484	13276	11607
B.fragilis_abyss-sga.gam	224	197	14767373	14757415	214	419237	14766190	5373121	43.20	43.42	131790	188684	99699	171021	230	151	35 + 31 part	876243	80.539	3.207	1.62	662.72	37.09	3386 + 101 part	186153	53546	88274	16511	79075
B.fragilis_msrca-spades.gam	107	90	5385807	5376298	107	391846	5385807	5373121	43.45	43.42	187353	187353	82479	82479	121	51	25 + 14 part	379218	80.503	1.158	0.04	684.33	30.75	3377 + 104 part	185930	44083	44083	13166	13166
B.fragilis_mira-cabog.gam	523	102	5429408	5301303	382	378585	5409484	5373121	43.45	43.42	141646	141646	74422	84346	143	52	227 + 52 part	487255	80.421	1.139	5.05	670.93	34.56	3377 + 106 part	188970	43585	43585	11896	13172
B.fragilis_msrca-soap.gam	111	94	5388349	5378840	111	391846	5388349	5373121	43.45	43.42	187353	187353	82479	82479	122	51	25 + 16 part	380757	80.497	1.158	0.00	683.99	29.25	3376 + 104 part	185930	44083	44083	12842	13208
B.fragilis_sga-soap.gam	1364	112	5425045	5250864	189	464388	5282940	5373121	43.47	43.42	116079	116079	60362	60254	98	50	83 + 16 part	428593	80.103	1.126	0.00	663.11	32.95	3360 + 105 part	186162	41485	41208	12492	10694
B.fragilis_velvet-msrca.gam	188	100	5288825	5261142	158	355773	5283521	5373121	43.48	43.42	132248	132248	74179	63670	106	49	69 + 13 part	385963	80.100	1.136	0.00	664.98	32.35	3362 + 105 part	185610	42686	41457	14283	12117
B.fragilis_spades-sga.gam	149	86	5331407	5302376	145	534462	5330923	5373121	43.46	43.42	157732	157732	86371	86371	111	51	77 + 15 part	416691	80.270	1.138	8.22	667.08	32.20	3368 + 103 part	185423	43492	42951	14057	13202
B.fragilis_abyss-soap.gam	154	130	6977551	6968183	147	419237	6976815	5373121	43.41	43.42	106769	150854	56529	98572	162	58	34 + 16 part	504698	80.526	1.494	3.41	661.02	36.52	3384 + 102 part	186153	41192	50798	12633	30344
B.fragilis_msrca-velvet.gam	104	88	5381153	5371983	104	391846	5381153	5373121	43.45	43.42	187353	187353	82479	82479	119	51	22 + 15 part	380977	80.497	1.156	0.00	683.90	29.39	3377 + 103 part	185930	44083	44083	12842	12842
B.fragilis_spades-soap.gam	145	81	5331690	5302830	140	640134	5331010	5373121	43.46	43.42	174843	174843	87246	87246	112	51	77 + 13 part	392639	80.270	1.144	8.08	667.05	33.74	3369 + 102 part	185423	44083	44083	14057	13202
B.fragilis_mira-velvet.gam	505	102	5424954	5304529	364	378585	5405030	5373121	43.45	43.42	151787	151787	87176	87176	144	51	209 + 53 part	456513	80.446	1.145	5.07	670.47	31.50	3377 + 108 part	188970	44083	44083	13172	13342
B.fragilis_spades-msrca.gam	138	78	5331095	5304765	133	534462	5330415	5373121	43.46	43.42	187954	187954	105708	98154	113	52	76 + 13 part	415026	80.305	1.138	7.90	669.83	32.28	3372 + 99 part	185423	43492	42951	14652	13632
B.fragilis_abyss-msrca.gam	130	108	6993543	6985673	122	419237	6992659	5373121	43.46	43.42	134623	175928	64165	108212	165	57	26 + 14 part	515021	80.589	1.494	3.42	668.94	37.37	3391 + 96 part	186153	43464	53546	13281	33166
B.fragilis_cabog-sga.gam	94	92	5224501	5224127	93	381932	5224360	5373121	43.42	43.42	112079	101939	59509	57899	107	49	19 + 13 part	403401	79.967	1.123	0.00	671.18	68.29	3358 + 110 part	185387	41179	39033	14277	10448
B.fragilis_sga-abyss.gam	1814	136	5491143	5234811	324	287028	5300707	5373121	43.46	43.42	91434	88102	47820	46208	94	48	146 + 29 part	464426	79.960	1.123	2.06	652.88	31.45	3347 + 111 part	133856	37284	37259	11162	9764
B.fragilis_msrca-abyss.gam	104	87	5382140	5372631	104	391846	5382140	5373121	43.46	43.42	187353	187353	87314	87314	121	52	25 + 14 part	379218	80.497	1.157	0.00	683.74	29.11	3376 + 104 part	185930	44083	44083	13208	14283
B.fragilis_soap-msrca.gam	312	93	5310642	5257832	180	384109	5291790	5373121	43.47	43.42	141306	132467	73417	65357	100	49	69 + 17 part	395437	80.195	1.135	0.00	666.64	31.24	3364 + 104 part	185821	43464	43390	13429	11802
B.fragilis_mira-msrca.gam	527	101	5432762	5301916	386	378585	5412838	5373121	43.45	43.42	144601	144601	87176	87176	141	52	231 + 56 part	468843	80.429	1.144	4.97	672.99	31.73	3378 + 105 part	188970	43533	43533	12053	13172
B.fragilis_cabog-mira.gam	100	98	5221665	5221291	99	365671	5221524	5373121	43.41	43.42	116083	115942	59269	57899	107	50	21 + 12 part	400564	79.736	1.127	0.02	664.36	60.80	3334 + 123 part	188970	41944	39592	13185	9397
B.fragilis_abyss-mira.gam	142	121	6920902	6913388	133	419237	6919884	5373121	43.47	43.42	117862	153231	62661	102554	162	53	29 + 14 part	525781	80.527	1.475	0.95	661.36	37.70	3386 + 101 part	188970	42686	50798	12492	30573
B.fragilis_soap-mira.gam	280	91	5308925	5261780	162	384109	5292380	5373121	43.48	43.42	157601	157601	89422	87238	106	52	82 + 11 part	387563	80.214	1.137	0.06	666.93	31.03	3364 + 104 part	188970	44083	43390	14283	13166
B.fragilis_soap-cabog.gam	340	102	5310002	5250572	199	384109	5289881	5373121	43.48	43.42	130112	130112	65519	63684	102	48	96 + 13 part	418076	80.142	1.130	0.00	664.68	36.22	3363 + 102 part	185821	43464	43384	13208	11607
B.fragilis_velvet-abyss.gam	225	113	5290577	5252381	195	286976	5285305	5373121	43.48	43.42	133996	125214	60945	60198	102	48	102 + 14 part	423975	80.088	1.128	0.00	663.07	31.87	3363 + 104 part	185610	43209	42686	13480	12492
B.fragilis_sga-spades.gam	1417	89	5430176	5243823	183	534353	5279415	5373121	43.46	43.42	157462	157462	63725	63252	109	51	91 + 12 part	389183	80.125	1.135	0.44	664.56	30.17	3359 + 104 part	185428	41485	41192	14408	12492
B.fragilis_soap-sga.gam	343	109	5310311	5253317	196	384109	5289491	5373121	43.48	43.42	130112	130112	63684	60952	97	50	87 + 16 part	431497	80.123	1.127	0.00	663.76	29.34	3361 + 105 part	185821	43184	42686	13208	11564
B.fragilis_abyss-spades.gam	146	122	6972734	6963612	137	419237	6971716	5373121	43.49	43.42	116263	171021	58781	98599	165	56	31 + 15 part	518060	80.558	1.489	4.22	663.49	37.29	3386 + 101 part	186153	42686	50798	13281	30573
B.fragilis_abyss-cabog.gam	133	114	6867948	6861360	124	419237	6866945	5373121	43.51	43.42	139593	157789	62661	116037	166	54	31 + 14 part	496633	80.546	1.470	3.48	664.01	41.94	3387 + 101 part	186153	43464	53546	13198	32221
B.fragilis_cabog-spades.gam	100	98	5227062	5226688	99	363813	5226921	5373121	43.42	43.42	112079	112079	63805	59269	114	49	19 + 12 part	379905	79.951	1.130	0.25	664.39	65.88	3342 + 124 part	185387	42668	39592	13162	9397
B.fragilis_mira-soap.gam	512	100	5425312	5301717	371	378585	5405388	5373121	43.45	43.42	174839	174839	87176	87176	144	52	213 + 54 part	457630	80.421	1.145	5.05	671.05	32.32	3376 + 107 part	188970	44083	44083	13166	13208
B.fragilis_msrca-cabog.gam	121	104	8711780	8702271	121	405413	8711780	5373121	43.49	43.42	234690	305048	115382	283040	222	91	24 + 13 part	378041	80.497	1.928	0.00	684.71	31.67	3375 + 105 part	185930	44907	79075	18702	48729
B.fragilis_msrca-sga.gam	108	92	5390334	5381164	108	391846	5390334	5373121	43.45	43.42	187353	187353	82479	82479	122	51	22 + 16 part	380829	80.497	1.158	0.00	684.89	29.25	3375 + 105 part	185930	44083	44083	11977	12842
B.fragilis_spades-abyss.gam	147	83	5331835	5302798	142	534462	5331155	5373121	43.46	43.42	157795	157795	87141	87141	111	51	77 + 15 part	417149	80.148	1.140	9.40	658.78	32.21	3366 + 103 part	185423	42951	42951	14057	13166
B.fragilis_spades-mira.gam	136	79	5330938	5305886	131	535243	5330258	5373121	43.46	43.42	174843	157732	98154	98154	111	52	68 + 13 part	369799	80.269	1.149	7.56	667.04	34.06	3368 + 103 part	188970	43492	42951	14283	13578
B.fragilis_spades-cabog.gam	138	77	5330633	5302822	133	534462	5329953	5373121	43.46	43.42	157906	157906	98154	98154	116	50	72 + 13 part	404964	80.485	1.139	7.82	669.37	38.02	3381 + 100 part	185423	44100	44062	14283	13208
B.fragilis_abyss-velvet.gam	146	125	6938306	6930710	139	419237	6937570	5373121	43.47	43.42	116597	171021	58191	98599	163	57	32 + 15 part	523581	80.546	1.480	3.45	663.34	37.11	3386 + 101 part	186153	41192	48723	12615	30333
B.fragilis_velvet-soap.gam	217	108	5289630	5251823	192	286976	5285285	5373121	43.48	43.42	130098	130098	65350	63670	104	48	95 + 13 part	435527	80.087	1.125	0.00	664.30	30.92	3361 + 106 part	185930	43209	42686	13480	12492
